| P35900
11 0.0135
12 0.003
13 0.002
14 0.0215
15 0.0196
16 0.0262
17 0.0
18 0.0
19 0.0
20 0.0165
21 0.0179
22 0.0211
23 0.0049
| O43396
1 0.0072
2 0.0046
3 0.0053
4 0.0
5 0.0017
6 0.0083
7 0.0088
8 0.0206
9 0.3668
10 0.3915
11 0.0724
12 0.0874
13 0.0056
14 0.0
15 0.0032
16 0.0028
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0025
22 0.0021
23 0.0093
| O43399
1 0.0011
2 0.0026
3 0.0047
4 0.007
5 0.1328
6 0.7144
7 0.0
8 0.0074
9 0.0046
10 0.0035
11 0.0022
12 0.0
13 0.0
14 0.0015
15 0.0217
16 0.0046
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0051
22 0.0596
23 0.0272
| Q8NHP1
1 0.0006
2 0.0
3 0.0002
4 0.0
5 0.0009
6 0.0025
7 0.006
8 0.0255
9 0.0541
10 0.3313
11 0.2352
12 0.1616
13 0.1092
14 0.0082
15 0.0048
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0366
21 0.0
22 0.0094
23 0.0138
| O43598
1 0.0253
2 0.6921
3 0.1965
4 0.0047
5 0.0287
6 0.0
7 0.0
8 0.0046
9 0.0055
10 0.0
11 0.0022
12 0.0026
13 0.0228
14 0.0049
15 0.005
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0052
| O43660
1 0.0248
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0774
12 0.0638
13 0.0
14 0.0617
15 0.0
16 0.106
17 0.0
18 0.2059
19 0.0
20 0.4603
21 0.0
22 0.0
23 0.0
| O43681
1 0.0001
2 0.0
3 0.0001
4 0.0
5 0.0001
6 0.0002
7 0.0001
8 0.0
9 0.0
10 0.1336
11 0.0
12 0.0901
13 0.5128
14 0.2155
15 0.0173
16 0.0275
17 0.0
18 0.0
19 0.0
20 0.0002
21 0.0
22 0.0021
23 0.0002
| O43684
1 0.0055
2 0.0017
3 0.0156
4 0.0216
5 0.0129
6 0.0103
7 0.016
8 0.0114
9 0.0067
10 0.0156
11 0.1092
12 0.3093
13 0.0934
14 0.1721
15 0.1258
16 0.0437
17 0.0
18 0.0
19 0.0
20 0.0074
21 0.0058
22 0.0078
23 0.0081
| O43809
1 0.0046
2 0.0003
3 0.0
4 0.028
5 0.7898
6 0.0319
7 0.0004
8 0.0001
9 0.0147
10 0.0004
11 0.0127
12 0.0404
13 0.0183
14 0.0097
15 0.0002
16 0.0168
17 0.0
18 0.0
19 0.0
20 0.0139
21 0.0079
22 0.0041
23 0.0059
| O43813
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.2896
13 0.0861
14 0.0
15 0.6244
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O43818
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.2341
21 0.67
22 0.0959
23 0.0
| O43837
1 0.0034
2 0.0
3 0.0
4 0.0
5 0.0326
6 0.0
7 0.0
8 0.0
9 0.0391
10 0.0111
11 0.0
12 0.0051
13 0.1226
14 0.4041
15 0.149
16 0.1861
17 0.0
18 0.0
19 0.0
20 0.0
21 0.002
22 0.0106
23 0.0344
| O43852
1 0.0166
2 0.0
3 0.0011
4 0.0
5 0.002
6 0.0269
7 0.0
8 0.0026
9 0.0006
10 0.0008
11 0.0112
12 0.002
13 0.0
14 0.0769
15 0.4785
16 0.3796
17 0.0
18 0.0
19 0.0
20 0.0012
21 0.0
22 0.0
23 0.0
| O43865
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0269
17 0.0
18 0.0
19 0.0
20 0.0529
21 0.7137
22 0.0759
23 0.1305
| O60256
1 0.0535
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.1552
12 0.5819
13 0.0
14 0.0
15 0.2093
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O60547
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 1.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O60573
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.19
7 0.7032
8 0.1068
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O60664
1 0.0039
2 0.0027
3 0.0092
4 0.0002
5 0.0063
6 0.0105
7 0.0005
8 0.0168
9 0.0103
10 0.0082
11 0.0103
12 0.0068
13 0.0117
14 0.0409
15 0.1202
16 0.4742
17 0.0
18 0.1266
19 0.0
20 0.06
21 0.0282
22 0.0346
23 0.0178
| O60701
1 0.0037
2 0.0
3 0.0
4 0.0001
5 0.0096
6 0.0
7 0.0
8 0.0
9 0.0079
10 0.0006
11 0.0117
12 0.0001
13 0.0065
14 0.0084
15 0.0093
16 0.0101
17 0.0
18 0.0
19 0.0
20 0.266
21 0.3974
22 0.117
23 0.1516
| O60762
1 0.0269
2 0.0
3 0.0
4 0.0
5 0.0025
6 0.3333
7 0.4231
8 0.1982
9 0.0
10 0.0
11 0.0013
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0146
| Q99880
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| Q99879
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| Q99877
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| Q93079
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| Q5QNW6
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| P62807
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| P58876
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| P57053
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| O60814
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| Q16778
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| P33778
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| P23527
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| P06899
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| Q8N257
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| Q96A08
1 0.1531
2 0.2347
3 0.1093
4 0.0578
5 0.072
6 0.0
7 0.0334
8 0.0263
9 0.0
10 0.0
11 0.0338
12 0.0416
13 0.0279
14 0.0586
15 0.0432
16 0.025
17 0.0
18 0.0
19 0.0
20 0.0296
21 0.0167
22 0.0236
23 0.0135
| O60828
1 0.0
2 0.0141
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.08
10 0.3989
11 0.5071
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O60832
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0081
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.865
22 0.1269
23 0.0
| O60884
1 0.0
2 0.0017
3 0.0
4 0.0
5 0.0032
6 0.002
7 0.0
8 0.0
9 0.0019
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0024
15 0.0747
16 0.9112
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0013
23 0.0017
| O75131
1 0.0408
2 0.0003
3 0.0062
4 0.0285
5 0.0128
6 0.0075
7 0.0046
8 0.0012
9 0.0011
10 0.001
11 0.0008
12 0.0
13 0.0008
14 0.0006
15 0.0013
16 0.0009
17 0.0
18 0.0
19 0.0
20 0.2182
21 0.2347
22 0.2389
23 0.2
| Q96FN4
1 0.0408
2 0.0003
3 0.0062
4 0.0285
5 0.0128
6 0.0075
7 0.0046
8 0.0012
9 0.0011
10 0.001
11 0.0008
12 0.0
13 0.0008
14 0.0006
15 0.0013
16 0.0009
17 0.0
18 0.0
19 0.0
20 0.2182
21 0.2347
22 0.2389
23 0.2
| Q8IYJ1
1 0.0408
2 0.0003
3 0.0062
4 0.0285
5 0.0128
6 0.0075
7 0.0046
8 0.0012
9 0.0011
10 0.001
11 0.0008
12 0.0
13 0.0008
14 0.0006
15 0.0013
16 0.0009
17 0.0
18 0.0
19 0.0
20 0.2182
21 0.2347
22 0.2389
23 0.2
| O95741
1 0.0408
2 0.0003
3 0.0062
4 0.0285
5 0.0128
6 0.0075
7 0.0046
8 0.0012
9 0.0011
10 0.001
11 0.0008
12 0.0
13 0.0008
14 0.0006
15 0.0013
16 0.0009
17 0.0
18 0.0
19 0.0
20 0.2182
21 0.2347
22 0.2389
23 0.2
| O75208
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 1.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O75223
1 0.0092
2 0.3835
3 0.0
4 0.0
5 0.5257
6 0.0106
7 0.011
8 0.0128
9 0.0163
10 0.0
11 0.0121
12 0.0
13 0.0188
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O75340
1 0.0709
2 0.6889
3 0.0
4 0.141
5 0.0
6 0.0278
7 0.0
8 0.0016
9 0.0034
10 0.0019
11 0.0021
12 0.0
13 0.0
14 0.001
15 0.0074
16 0.0022
17 0.0
18 0.0
19 0.0
20 0.0097
21 0.0119
22 0.0263
23 0.0037
| O75367
1 0.0056
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0003
8 0.0003
9 0.0
10 0.0011
11 0.0
12 0.8413
13 0.001
14 0.0691
15 0.0294
16 0.0332
17 0.0
18 0.0
19 0.0
20 0.0005
21 0.0176
22 0.0004
23 0.0003
| O75396
1 0.0089
2 0.02
3 0.0185
4 0.5553
5 0.0715
6 0.1667
7 0.0321
8 0.0224
9 0.0008
10 0.0111
11 0.0132
12 0.0093
13 0.0005
14 0.0015
15 0.001
16 0.0017
17 0.0
18 0.0
19 0.0
20 0.0157
21 0.0215
22 0.0148
23 0.0135
| O75414
1 0.0
2 1.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
