| P05787
16 0.0234
17 0.021
18 0.0
19 0.0
20 0.0231
21 0.0269
22 0.0
23 0.0138
| O43598
1 0.0
2 0.0
3 0.0953
4 0.0
5 0.0
6 0.3593
7 0.0
8 0.0
9 0.0
10 0.0
11 0.1258
12 0.0936
13 0.0066
14 0.0845
15 0.0
16 0.0792
17 0.0076
18 0.0
19 0.0
20 0.0166
21 0.029
22 0.0726
23 0.0299
| O43617
1 0.0
2 0.0
3 0.0
4 0.0
5 1.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O43660
1 0.0
2 0.0
3 0.0265
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.1025
15 0.0
16 0.1044
17 0.0
18 0.0
19 0.0938
20 0.6728
21 0.0
22 0.0
23 0.0
| O43670
1 0.0
2 0.014
3 0.014
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0341
14 0.0
15 0.0
16 0.0135
17 0.0243
18 0.0
19 0.0588
20 0.7755
21 0.0658
22 0.0
23 0.0
| O43681
1 0.0
2 0.0074
3 0.012
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0095
13 0.8954
14 0.0356
15 0.0
16 0.0
17 0.0089
18 0.0
19 0.0312
20 0.0
21 0.0
22 0.0
23 0.0
| O43684
1 0.0141
2 0.006
3 0.011
4 0.0204
5 0.0114
6 0.0
7 0.0153
8 0.0083
9 0.0241
10 0.0147
11 0.0066
12 0.0312
13 0.6043
14 0.1464
15 0.0115
16 0.0147
17 0.0056
18 0.009
19 0.0112
20 0.0064
21 0.0096
22 0.0074
23 0.011
| O43765
1 0.0
2 0.0214
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0173
11 0.4832
12 0.3889
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.013
19 0.0
20 0.0
21 0.0147
22 0.0112
23 0.0502
| O43809
1 0.0132
2 0.0185
3 0.0443
4 0.0113
5 0.0193
6 0.0146
7 0.5761
8 0.0819
9 0.0144
10 0.0152
11 0.0096
12 0.0075
13 0.0116
14 0.01
15 0.0072
16 0.0212
17 0.0136
18 0.0241
19 0.0164
20 0.0244
21 0.0225
22 0.0138
23 0.0092
| O43818
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0739
20 0.7657
21 0.1604
22 0.0
23 0.0
| O43837
1 0.0042
2 0.0
3 0.0124
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0143
9 0.0068
10 0.013
11 0.0094
12 0.0584
13 0.7959
14 0.0207
15 0.0
16 0.0
17 0.0
18 0.0036
19 0.0076
20 0.0267
21 0.0063
22 0.0087
23 0.0119
| O60256
1 0.0
2 0.0066
3 0.0224
4 0.0084
5 0.0037
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.3363
14 0.4542
15 0.0352
16 0.0
17 0.0134
18 0.0114
19 0.0397
20 0.0223
21 0.0107
22 0.0235
23 0.0123
| O60547
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 1.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O60573
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 1.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O60664
1 0.0
2 0.0183
3 0.0362
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0154
11 0.0087
12 0.0298
13 0.0603
14 0.1176
15 0.2806
16 0.2086
17 0.0
18 0.0159
19 0.0128
20 0.0143
21 0.0161
22 0.0421
23 0.1233
| O60684
1 0.0161
2 0.0243
3 0.0235
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0184
10 0.0
11 0.0302
12 0.0
13 0.0257
14 0.0
15 0.0304
16 0.0
17 0.0
18 0.1033
19 0.0871
20 0.4742
21 0.0722
22 0.0692
23 0.0253
| O15131
1 0.0161
2 0.0243
3 0.0235
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0184
10 0.0
11 0.0302
12 0.0
13 0.0257
14 0.0
15 0.0304
16 0.0
17 0.0
18 0.1033
19 0.0871
20 0.4742
21 0.0722
22 0.0692
23 0.0253
| O60701
1 0.0196
2 0.0
3 0.0348
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0243
10 0.0
11 0.0
12 0.0
13 0.0301
14 0.0356
15 0.0
16 0.0
17 0.0122
18 0.0667
19 0.4894
20 0.2117
21 0.034
22 0.0417
23 0.0
| O60762
1 0.0
2 0.0
3 0.249
4 0.0
5 0.0
6 0.0
7 0.0
8 0.6767
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0634
20 0.0
21 0.0109
22 0.0
23 0.0
| O60814
1 0.0
2 0.0
3 0.5605
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.4395
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P57053
1 0.0
2 0.0
3 0.5605
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.4395
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O60832
1 0.0
2 0.0
3 0.019
4 0.0146
5 0.0109
6 0.0102
7 0.0241
8 0.0311
9 0.0373
10 0.0596
11 0.0387
12 0.0
13 0.0518
14 0.0256
15 0.0134
16 0.045
17 0.1245
18 0.1312
19 0.0459
20 0.0458
21 0.1506
22 0.0777
23 0.043
| O60884
1 0.006
2 0.1113
3 0.0495
4 0.0065
5 0.0063
6 0.0
7 0.0
8 0.0073
9 0.0089
10 0.0257
11 0.0129
12 0.0126
13 0.0099
14 0.0174
15 0.0
16 0.2684
17 0.3983
18 0.0333
19 0.0088
20 0.0
21 0.0098
22 0.0074
23 0.0
| O75131
1 0.0035
2 0.0044
3 0.0125
4 0.0082
5 0.0112
6 0.0085
7 0.0
8 0.0083
9 0.0096
10 0.0072
11 0.0053
12 0.0148
13 0.0084
14 0.0092
15 0.0
16 0.0086
17 0.0106
18 0.0118
19 0.0251
20 0.6256
21 0.1604
22 0.034
23 0.0126
| Q96FN4
1 0.0035
2 0.0044
3 0.0125
4 0.0082
5 0.0112
6 0.0085
7 0.0
8 0.0083
9 0.0096
10 0.0072
11 0.0053
12 0.0148
13 0.0084
14 0.0092
15 0.0
16 0.0086
17 0.0106
18 0.0118
